Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_anx * any_psy,Row 1,0.0014,0.0000,0.0013,0.0015,
Table e_any_anx * any_psy,Row 2,0.0029,0.0001,0.0026,0.0031,
Table e_any_anx * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_anx * any_psy,Difference,-0.0014,0.0001,-0.0017,-0.0012,1
Table e_any_anx * any_oth,Row 1,0.0345,0.0002,0.0340,0.0349,
Table e_any_anx * any_oth,Row 2,0.0584,0.0006,0.0573,0.0596,
Table e_any_anx * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_anx * any_oth,Difference,-0.0240,0.0006,-0.0252,-0.0228,1
Table e_any_anx * any_slp,Row 1,0.0472,0.0003,0.0466,0.0477,
Table e_any_anx * any_slp,Row 2,0.0787,0.0006,0.0774,0.0799,
Table e_any_anx * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_anx * any_slp,Difference,-0.0315,0.0007,-0.0329,-0.0301,1
Table e_any_anx * any_sex,Row 1,0.0012,0.0000,0.0011,0.0013,
Table e_any_anx * any_sex,Row 2,0.0018,0.0001,0.0016,0.0020,
Table e_any_anx * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_anx * any_sex,Difference,-0.0006,0.0001,-0.0008,-0.0004,1
Table e_any_anx * any_per,Row 1,0.0011,0.0000,0.0011,0.0012,
Table e_any_anx * any_per,Row 2,0.0023,0.0001,0.0021,0.0025,
